"BGN_DATE","COUNTY","COUNTYNAME","STATE","EVTYPE","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP"
"11/14/1952 0:00:00",25,"YAVAPAI","AZ","TORNADO",0,0,0,3,0,0
"3/4/1954 0:00:00",19,"PIMA","AZ","TORNADO",0,0,0,3,0,0
"8/5/1954 0:00:00",25,"YAVAPAI","AZ","TORNADO",0,0,0,3,0,0
"6/13/1955 0:00:00",7,"GILA","AZ","HAIL",0,0,0,0,0,0
"6/13/1955 0:00:00",13,"MARICOPA","AZ","TORNADO",0,0,25,3,0,0
"7/31/1955 0:00:00",17,"NAVAJO","AZ","HAIL",0,0,0,0,0,0
"7/12/1956 0:00:00",3,"COCHISE","AZ","TORNADO",0,0,0,3,0,0
"7/25/1956 0:00:00",13,"MARICOPA","AZ","TORNADO",0,0,0.25,3,0,0
"7/25/1956 0:00:00",13,"MARICOPA","AZ","TORNADO",0,0,0,3,0,0
"4/29/1957 0:00:00",1,"APACHE","AZ","TORNADO",0,0,0,3,0,0
"5/6/1957 0:00:00",19,"PIMA","AZ","HAIL",0,0,0,0,0,0
"8/4/1957 0:00:00",13,"MARICOPA","AZ","TORNADO",0,0,2.5,3,0,0
"8/18/1957 0:00:00",5,"COCONINO","AZ","TORNADO",0,0,0.03,3,0,0
"8/20/1957 0:00:00",5,"COCONINO","AZ","TORNADO",0,0,0.03,3,0,0
"8/29/1957 0:00:00",13,"MARICOPA","AZ","TORNADO",0,0,25,3,0,0
"3/11/1958 0:00:00",13,"MARICOPA","AZ","TORNADO",0,0,2.5,3,0,0
"3/12/1958 0:00:00",9,"GRAHAM","AZ","HAIL",0,0,0,0,0,0
"5/11/1958 0:00:00",13,"MARICOPA","AZ","TORNADO",0,0,0.03,3,0,0
"7/24/1958 0:00:00",5,"COCONINO","AZ","TORNADO",0,0,2.5,3,0,0
"9/24/1958 0:00:00",13,"MARICOPA","AZ","TORNADO",0,0,0.03,3,0,0
"8/17/1959 0:00:00",27,"YUMA","AZ","TORNADO",0,1,250,3,0,0
"11/2/1959 0:00:00",25,"YAVAPAI","AZ","TORNADO",0,0,25,3,0,0
"6/10/1960 0:00:00",17,"NAVAJO","AZ","TORNADO",0,0,0,3,0,0
"8/15/1960 0:00:00",13,"MARICOPA","AZ","HAIL",0,0,0,0,0,0
"9/8/1960 0:00:00",21,"PINAL","AZ","TORNADO",0,0,25,3,0,0
"7/22/1961 0:00:00",13,"MARICOPA","AZ","TORNADO",0,0,25,3,0,0
"7/27/1961 0:00:00",19,"PIMA","AZ","TORNADO",0,1,250,3,0,0
"8/13/1961 0:00:00",21,"PINAL","AZ","HAIL",0,0,0,0,0,0
"8/23/1961 0:00:00",7,"GILA","AZ","HAIL",0,0,0,0,0,0
"9/8/1961 0:00:00",13,"MARICOPA","AZ","TORNADO",0,2,250,3,0,0
"6/28/1962 0:00:00",5,"COCONINO","AZ","HAIL",0,0,0,0,0,0
"7/26/1962 0:00:00",25,"YAVAPAI","AZ","HAIL",0,0,0,0,0,0
"7/26/1962 0:00:00",25,"YAVAPAI","AZ","TORNADO",0,0,0.25,3,0,0
"10/17/1962 0:00:00",17,"NAVAJO","AZ","TORNADO",0,0,2.5,3,0,0
"10/17/1962 0:00:00",17,"NAVAJO","AZ","HAIL",0,0,0,0,0,0
"10/17/1962 0:00:00",1,"APACHE","AZ","TORNADO",0,0,0,3,0,0
"7/10/1963 0:00:00",3,"COCHISE","AZ","TORNADO",0,0,0,3,0,0
"11/1/1963 0:00:00",27,"YUMA","AZ","HAIL",0,0,0,0,0,0
"4/28/1964 0:00:00",27,"YUMA","AZ","HAIL",0,0,0,0,0,0
"8/27/1964 0:00:00",19,"PIMA","AZ","TORNADO",2,9,25,3,0,0
"9/14/1964 0:00:00",19,"PIMA","AZ","HAIL",0,0,0,0,0,0
